cid,course_code,serial_no,course_name,department,reg_sel,credits,restrict,time,location,instructor,year,term,quota,authorize_quota,interschool_quota,english,dept_code,note
216,00UA7A2,0203,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限教育系、心輔系、社教系、學習科學學位學程、教院不分系、英語系、設計系選修,二 1-2,本部 正302,未定,110,1,35,5,0,"",CU,""
217,00UA7A2,0204,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限教育系、心輔系、社教系、學習科學學位學程、教院不分系、英語系、設計系選修,二 1-2,本部 正201,未定,110,1,35,5,0,"",CU,""
218,00UA7A2,0205,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限教育系、心輔系、社教系、學習科學學位學程、教院不分系、英語系、設計系選修,二 1-2,本部 樸202,未定,110,1,35,5,0,"",CU,""
219,00UA7A2,0206,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限教育系、心輔系、社教系、學習科學學位學程、教院不分系、英語系、設計系選修,二 1-2,本部 正205,未定,110,1,35,5,0,"",CU,""
220,00UA7A2,0207,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限教育系、心輔系、社教系、學習科學學位學程、教院不分系、英語系、設計系選修,二 1-2,本部 正301,未定,110,1,35,5,0,"",CU,""
221,00UA7A2,0208,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限體育系選修,二 1-2,本部 正303,未定,110,1,30,5,0,"",CU,""
222,00UA7A2,0209,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限體育系選修,二 1-2,本部 正304,未定,110,1,30,5,0,"",CU,""
223,00UA7A3,0210,中文閱讀與思辨,共同科,必,2,◎限大一修習,四 A-B,本部 誠204,未定,110,1,35,5,0,"",CU,不限學系
224,00UA7A3,0211,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限衛教系、公領系、特教系、國文系、臺文系、表演學位學程、企管系選修,四 1-2,本部 正201,李志宏,110,1,35,5,0,"",CU,""
225,00UA7A3,0212,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限衛教系、公領系、特教系、國文系、臺文系、表演學位學程、企管系選修,四 1-2,本部 正202,汪文祺,110,1,35,5,0,"",CU,""
